gene,padj
ENSMUSG00000042082.6,3.3963712528149373e-94
ENSMUSG00000101609.1,4.3691867693272447e-94
ENSMUSG00000041997.16,6.61059107857155e-94
ENSMUSG00000073940.3,3.610351239607486e-93
ENSMUSG00000022021.13,5.1286597699816135e-93
ENSMUSG00000024983.9,5.391313788234294e-93
ENSMUSG00000038725.12,4.112562236098054e-92
ENSMUSG00000023965.13,4.6119279383459144e-92
ENSMUSG00000026482.13,6.892429160673152e-92
ENSMUSG00000024236.18,8.219870005752842e-92
ENSMUSG00000021065.15,1.5928546428515717e-91
ENSMUSG00000023965.13,1.658737307739464e-91
ENSMUSG00000052187.4,3.420447983866595e-91
ENSMUSG00000026786.14,7.164609391815466e-91
ENSMUSG00000039197.9,2.457410649031766e-90
ENSMUSG00000024533.15,3.5293631327706963e-90
ENSMUSG00000032046.15,3.8575260685245473e-90
ENSMUSG00000026482.13,1.0036886050701205e-89
ENSMUSG00000024236.18,1.0557668051523107e-89
ENSMUSG00000055609.8,2.4234539997335835e-89
ENSMUSG00000063458.12,8.581483209020995e-89
ENSMUSG00000034751.16,2.916388352200841e-88
ENSMUSG00000022901.13,5.189408658327336e-88
ENSMUSG00000048264.15,9.307997997733718e-88
ENSMUSG00000035247.15,4.603705054887662e-87
ENSMUSG00000030691.15,8.127021507378964e-87
ENSMUSG00000031328.15,1.3382779748197185e-86
ENSMUSG00000031119.4,1.7123525025999766e-86
ENSMUSG00000032046.15,2.0660245029437435e-86
ENSMUSG00000004508.6,3.5975029484034566e-86
ENSMUSG00000020160.18,5.0305409729867025e-86
ENSMUSG00000075415.13,9.621768152373373e-86
ENSMUSG00000018501.17,3.3875695911902565e-85
ENSMUSG00000022901.13,3.5443864710521297e-85
ENSMUSG00000029635.15,4.279581774833323e-85
ENSMUSG00000025889.13,4.501830591666047e-85
ENSMUSG00000024983.9,4.818508776354375e-85
ENSMUSG00000022797.15,5.658414185400396e-85
ENSMUSG00000029673.17,2.5574358629700183e-84
ENSMUSG00000020961.14,5.748386392844119e-84
ENSMUSG00000031214.13,6.67096479737867e-82
ENSMUSG00000018501.17,2.4141152098723394e-81
ENSMUSG00000031214.13,4.973306007933214e-81
ENSMUSG00000000861.15,1.64033747542321e-80
ENSMUSG00000036053.16,2.694610738326871e-80
ENSMUSG00000042331.13,2.7278377367359106e-80
ENSMUSG00000023926.7,3.3625686076001396e-80
ENSMUSG00000064363.1,3.604017815480846e-80
ENSMUSG00000051177.16,5.5827050894431266e-80
ENSMUSG00000050761.3,1.2108247520656449e-79
ENSMUSG00000050761.3,1.2815355062756372e-79
ENSMUSG00000006740.13,2.61517456648535e-79
ENSMUSG00000028677.18,3.459285608321e-79
ENSMUSG00000038718.15,6.53819340867973e-79
ENSMUSG00000039109.15,1.128788241939851e-78
ENSMUSG00000056899.10,6.425807555093736e-78
ENSMUSG00000024867.14,1.3934653465928526e-77
ENSMUSG00000018501.17,1.0477599328469755e-76
ENSMUSG00000006740.13,1.9544643014211357e-76
ENSMUSG00000056220.14,2.266672690247573e-76
ENSMUSG00000051177.16,3.02819964764878e-76
ENSMUSG00000047454.11,3.2586759670189096e-76
ENSMUSG00000036006.19,3.2826689111223694e-76
ENSMUSG00000022105.6,4.418507825157829e-76
ENSMUSG00000069917.7,8.125056064819275e-76
ENSMUSG00000034751.16,1.1899889079127313e-75
ENSMUSG00000034574.9,1.4158092103658792e-75
ENSMUSG00000041836.10,2.9507431771871247e-75
ENSMUSG00000056220.14,1.1038319606793908e-74
ENSMUSG00000034480.18,1.4951828197036403e-74
ENSMUSG00000053580.16,4.317595341577326e-74
ENSMUSG00000022283.14,4.700870912469771e-74
ENSMUSG00000097039.8,1.173926453443345e-73
ENSMUSG00000038664.16,1.3548956495208889e-73
ENSMUSG00000063873.10,1.71444752031574e-73
ENSMUSG00000063873.10,2.6374583140033798e-73
ENSMUSG00000097971.3,7.046439342584342e-73
ENSMUSG00000061143.15,8.088085253494128e-73
ENSMUSG00000029108.14,2.6222917822744695e-72
ENSMUSG00000031328.15,3.2019155634532764e-72
ENSMUSG00000052920.14,1.7537452598560261e-71
ENSMUSG00000026864.13,3.502630501760974e-71
ENSMUSG00000019838.11,5.191348026214354e-71
ENSMUSG00000049775.16,6.496893242826834e-71
ENSMUSG00000098973.1,6.892990775931666e-71
ENSMUSG00000018654.17,7.294999237038425e-71
ENSMUSG00000050761.3,1.0947716921040291e-70
ENSMUSG00000040565.7,1.7753032105207445e-70
ENSMUSG00000030102.11,3.208102812539333e-70
ENSMUSG00000021939.7,3.748195930084266e-70
ENSMUSG00000031974.8,5.161853176903193e-70
ENSMUSG00000023923.9,1.212904481317186e-69
ENSMUSG00000039852.16,3.562256790658193e-69
ENSMUSG00000032216.14,3.7818966477498843e-69
ENSMUSG00000041836.10,8.993052347550497e-69
ENSMUSG00000052920.14,9.293107099091214e-69
ENSMUSG00000022122.14,1.331277754269011e-68
ENSMUSG00000052085.6,1.4249794950282753e-68
ENSMUSG00000006740.13,1.7209451230341595e-68
ENSMUSG00000036053.16,1.8265984811451219e-68
ENSMUSG00000004637.15,2.0132902071882345e-68
ENSMUSG00000024544.8,2.3464777084921334e-68
ENSMUSG00000030199.16,9.835040344947874e-68
ENSMUSG00000022122.14,3.540037692633463e-67
ENSMUSG00000021065.15,3.5843868844110094e-67
ENSMUSG00000034751.16,4.511063348365186e-67
ENSMUSG00000051177.16,9.462096681838753e-67
ENSMUSG00000050965.14,2.482685375748232e-66
ENSMUSG00000020189.13,4.2565763937032356e-66
ENSMUSG00000018654.17,5.623986779783438e-66
ENSMUSG00000029866.13,1.2972793496890694e-65
ENSMUSG00000023965.13,2.4889583711100324e-65
ENSMUSG00000029765.12,3.1018452803415096e-65
ENSMUSG00000046230.9,4.521527722937872e-65
ENSMUSG00000020961.14,5.095471285208442e-65
ENSMUSG00000029765.12,6.5604244250598785e-65
ENSMUSG00000031355.16,1.0840240273441085e-64
ENSMUSG00000041720.12,2.0539502073395065e-64
ENSMUSG00000021939.7,2.2904350513502587e-64
ENSMUSG00000049659.15,7.96337331084907e-64
ENSMUSG00000039031.15,9.334707875078133e-64
ENSMUSG00000064345.1,1.1653297037944466e-63
ENSMUSG00000020300.14,2.0684412442015295e-63
ENSMUSG00000026864.13,4.177073291728622e-63
ENSMUSG00000009350.13,4.7703396438211127e-63
ENSMUSG00000049775.16,5.041539839772843e-63
ENSMUSG00000097039.8,2.1532703466771834e-62
ENSMUSG00000020143.15,3.529382493266873e-62
ENSMUSG00000025314.16,1.0185055051691724e-61
ENSMUSG00000009350.13,1.3810313451569372e-61
ENSMUSG00000098178.1,1.4296899578694603e-61
ENSMUSG00000097039.8,2.1901673688619917e-61
ENSMUSG00000053641.9,2.38620788484062e-61
ENSMUSG00000064210.6,2.6212821049945568e-61
ENSMUSG00000020048.13,2.941366976245004e-61
ENSMUSG00000006586.15,3.3814647347026463e-61
ENSMUSG00000022770.16,4.0124810232606954e-61
ENSMUSG00000027784.10,4.7419329307616305e-61
ENSMUSG00000049659.15,4.885836467557036e-61
ENSMUSG00000098178.1,6.879791251236153e-61
ENSMUSG00000032020.15,6.515726662778714e-60
ENSMUSG00000031355.16,7.547963750682562e-60
ENSMUSG00000034265.7,1.0123584013760756e-59
ENSMUSG00000075415.13,1.3980875653309444e-59
ENSMUSG00000039197.9,1.7032169315807406e-59
ENSMUSG00000032846.9,1.8375887022772603e-59
ENSMUSG00000028649.17,2.8288726415017397e-59
ENSMUSG00000024661.6,3.279369239657425e-59
ENSMUSG00000025234.11,5.064686912736098e-59
ENSMUSG00000034574.9,6.06604098712589e-59
ENSMUSG00000032076.19,1.1728336818707611e-58
ENSMUSG00000061731.9,1.750684575587227e-58
ENSMUSG00000035569.17,1.8320554572363036e-58
ENSMUSG00000037926.15,2.8207960710200918e-58
ENSMUSG00000063873.10,6.032568322852106e-58
ENSMUSG00000078247.3,6.801609209921119e-58
ENSMUSG00000021728.7,1.1248786212928553e-57
ENSMUSG00000045658.16,1.315476589761271e-57
ENSMUSG00000035954.9,1.5345492604254945e-57
ENSMUSG00000027111.15,1.558809785460052e-57
ENSMUSG00000022105.6,2.2635526456070343e-57
ENSMUSG00000046876.15,2.73782616989698e-57
ENSMUSG00000022797.15,3.1677917041017035e-57
ENSMUSG00000034593.16,5.739121974967906e-57
ENSMUSG00000032846.9,1.139701997909082e-56
ENSMUSG00000029580.14,1.6784684056600014e-56
ENSMUSG00000023926.7,1.7006597233908136e-56
ENSMUSG00000052187.4,1.833581679244668e-56
ENSMUSG00000061731.9,2.956771687300795e-56
ENSMUSG00000020176.17,3.669233849736527e-56
ENSMUSG00000020315.18,8.89333288484484e-56
ENSMUSG00000021728.7,1.1671134771460864e-55
ENSMUSG00000029673.17,1.3442471475815814e-55
ENSMUSG00000029580.14,2.4607936559842373e-55
ENSMUSG00000004633.17,4.005424871753819e-55
ENSMUSG00000025889.13,4.136998055464519e-55
ENSMUSG00000022283.14,6.586927237766762e-55
ENSMUSG00000030465.19,7.766730136284511e-55
ENSMUSG00000096768.7,8.363440981340772e-55
ENSMUSG00000056899.10,9.761600035868512e-55
ENSMUSG00000031328.15,1.0349678397387067e-54
ENSMUSG00000031799.9,1.6000517504002783e-54
ENSMUSG00000037926.15,1.714684286612646e-54
ENSMUSG00000031004.8,1.7802078207615186e-54
ENSMUSG00000070738.10,2.0179865561922172e-54
ENSMUSG00000000320.10,2.5405136529863156e-54
ENSMUSG00000027009.18,3.5034906864966166e-54
ENSMUSG00000045658.16,4.0151605606582644e-54
ENSMUSG00000000320.10,4.29878813960656e-54
ENSMUSG00000004633.17,4.891119060251076e-54
ENSMUSG00000030465.19,8.261747310044807e-54
ENSMUSG00000034663.13,1.753947335605187e-53
ENSMUSG00000061175.11,2.173391543647331e-53
ENSMUSG00000032216.14,1.201863633812074e-52
ENSMUSG00000032076.19,2.470534454256797e-52
ENSMUSG00000029925.13,2.7285365449765607e-52
ENSMUSG00000071713.4,3.017261976839987e-52
ENSMUSG00000039031.15,3.603051794526258e-52
ENSMUSG00000039191.12,4.286757346666347e-52
ENSMUSG00000020048.13,8.350032773855343e-52
ENSMUSG00000022148.15,9.396337500807891e-52
ENSMUSG00000015568.16,2.0256003059601836e-51
ENSMUSG00000022021.13,2.6137601053799105e-51
ENSMUSG00000031119.4,3.1464417811774285e-51
ENSMUSG00000015568.16,4.1052811248151776e-51
ENSMUSG00000029823.16,5.899003834361926e-51
ENSMUSG00000036006.19,6.400329187216074e-51
ENSMUSG00000070738.10,1.3610333233373946e-50
ENSMUSG00000028559.17,2.2446425864793613e-50
ENSMUSG00000004317.14,4.272138044197126e-50
ENSMUSG00000035247.15,8.0140681564713775e-50
ENSMUSG00000031799.9,1.1193806865843144e-49
ENSMUSG00000029765.12,1.8971947493719917e-49
ENSMUSG00000034248.7,2.8874820381131624e-49
ENSMUSG00000042744.16,3.0572735511764342e-49
ENSMUSG00000048915.12,3.8532373698549764e-49
ENSMUSG00000000320.10,4.6868327024293595e-49
ENSMUSG00000026786.14,4.6887214606237326e-49
ENSMUSG00000024544.8,7.571033518859424e-49
ENSMUSG00000053819.16,1.1963718085382334e-48
ENSMUSG00000002985.16,2.7338709924825475e-48
ENSMUSG00000041058.15,2.8757012470051703e-48
